Condition,ICD10,ICD10QF,SMRType,FinancialYear,HBT2014,HBT2014QF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000019,,393.5,284.7,135.6,,1157,,833,,392,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000020,,425.9,298.8,133.5,,2393,,1684,,756,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000021,,854.9,566,239.1,,9211,,6091,,2594,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000022,,600.1,423,190,,1929,,1351,,596,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000023,,597.6,415.7,197.4,,3792,,2619,,1235,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000024,,520.2,370.5,173.7,,4196,,2991,,1422,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000025,,1433.8,578.4,272.9,,,c,,c,,c,2.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000026,,619.4,438.1,246.4,,,c,,c,,c,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000027,,443.8,326.3,161.7,,1785,,1315,,657,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2012/13,S08000028,,656.9,542.1,252.5,,193,,157,,71,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000015,,716.2,487.9,215.9,,2589,,1775,,786,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000016,,492.8,346.5,183.4,,543,,382,,197,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000017,,374.3,269.4,127,,561,,400,,189,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000018,,508.7,370.6,178.6,,1824,,1332,,641,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000019,,434.6,298.2,147.2,,1266,,863,,427,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000020,,416.7,293.6,142.6,,2379,,1675,,820,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000021,,881.4,578.1,239.2,,9429,,6194,,2576,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000022,,586.4,409.7,176.4,,1908,,1329,,564,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000023,,624,428.2,198.2,,3950,,2714,,1243,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000024,,510.8,360.7,168.3,,4161,,2936,,1382,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000025,,1326.3,526.8,272.7,,301,,116,,57,,2.6
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000026,,542.3,435.6,210,,,c,,c,49,,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000027,,457.5,335.2,166.8,,1834,,1350,,676,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2013/14,S08000028,,625.6,486.2,210.7,,,c,,c,,c,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000015,,670.9,453.6,185.2,,2439,,1661,,686,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000016,,361.2,280,145.5,,405,,314,,163,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000017,,299.6,219,98,,458,,330,,149,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000018,,494.2,354.7,174.7,,1775,,1279,,632,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000019,,425.8,303,148.4,,1259,,892,,438,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000020,,380.3,279.3,132,,2175,,1601,,765,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000021,,865.4,575.3,239.6,,9297,,6170,,2582,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000022,,581.1,398.4,177.7,,1882,,1291,,572,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000023,,613.3,426.2,195.7,,3884,,2693,,1231,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000024,,502.4,345.1,157.7,,4121,,2831,,1302,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000025,,588.8,421.4,204.1,,130,,94,,45,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000026,,471.5,368.8,205.9,,110,,86,,48,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000027,,469.9,347.8,169.3,,1892,,1408,,695,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2014/15,S08000028,,416.9,343.7,138.3,,,c,,c,,c,1.2
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000015,,661.6,454.3,185.9,,2415,,1665,,683,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000016,,374.6,273.9,142,,414,,309,,159,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000017,,310.1,234.8,110.9,,458,,347,,165,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000018,,490.4,364.6,176.9,,1763,,1315,,633,,1.3
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000019,,456.8,324.6,159.5,,1357,,960,,473,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000020,,365.8,265.5,127.3,,2107,,1530,,738,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000021,,871.3,579.9,248.4,,9413,,6250,,2685,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000022,,550.3,387.4,168.6,,1794,,1271,,551,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000023,,659.8,438.7,197.4,,4215,,2788,,1240,,1.5
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000024,,463.5,328.9,147.2,,3849,,2725,,1229,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000025,,554.9,392.1,192.2,,124,,86,,41,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000026,,512.4,377,234.2,,,c,,c,,c,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000027,,446.5,311.4,148.5,,1810,,1265,,606,,1.4
Mental & behavioural disorders due to use of alcohol (M&B): All,F10,d,Combined,2015/16,S08000028,,534,409.1,133.4,,157,,119,,38,,1.3
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S92000003,d,192.1,173.7,,:,9364,,8499,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S92000003,d,192.9,173.2,,:,9488,,8534,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S92000003,d,212,188.3,,:,10399,,9261,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S92000003,d,184.8,164.7,,:,9102,,8139,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S92000003,d,197.1,175,,:,9738,,8669,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S92000003,d,188.4,166.2,,:,9361,,8276,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S92000003,d,166.6,149.9,,:,8251,,7426,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S92000003,d,156.4,140.7,,:,7769,,6996,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S92000003,d,145.6,130.1,,:,7294,,6527,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S92000003,d,155.3,139.3,,:,7844,,7056,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S92000003,d,172.2,152.3,86,,8800,,7801,,4478,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2008/09,S92000003,d,164.4,144.8,78.6,,8433,,7441,,4083,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2009/10,S92000003,d,148.4,131.5,69.7,,7646,,6790,,3639,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2010/11,S92000003,d,153.9,136.9,73.4,,8003,,7128,,3863,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2011/12,S92000003,d,201.1,173,91.3,,10476,,9021,,4807,,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2012/13,S92000003,d,184.4,159.2,86.2,,9661,,8338,,4546,,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2013/14,S92000003,d,175.5,152.4,81.2,,9187,,7996,,4288,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2014/15,S92000003,d,161.6,141.1,73.6,,8502,,7433,,3906,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2015/16,S92000003,d,158.2,138.2,71.3,,8347,,7305,,3782,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2016/17,S92000003,d,164,142.3,74.9,,8694,,7543,,3983,,1.2
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000015,,333.1,296.1,,:,1197,,1072,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000016,,157.1,143.5,,:,158,,144,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000017,,139.8,133.4,,:,206,,196,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000018,,166.4,152.5,,:,548,,505,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000019,,71.7,67.3,,:,198,,186,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000020,,223.3,204.2,,:,1212,,1114,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000021,,237.2,213,,:,2440,,2203,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000022,,300.8,269.7,,:,879,,786,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000023,,126.7,117.6,,:,743,,690,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000024,,140.4,125.4,,:,1056,,947,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000025,,268,247.2,,:,51,,47,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000026,,193.8,147.2,,:,47,,35,,,:,1.3
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000027,,148.4,136.9,,:,581,,538,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1997/98,S08000028,,167.2,163.8,,:,48,,47,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000015,,335.7,295.9,,:,1201,,1058,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000016,,163.4,149,,:,167,,152,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000017,,134.7,128,,:,195,,186,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000018,,134.4,126.1,,:,454,,427,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000019,,96.5,90.1,,:,256,,242,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000020,,217.3,196,,:,1174,,1059,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000021,,239.3,215.2,,:,2503,,2263,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000022,,343.7,295.3,,:,1007,,865,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000023,,153.5,139.1,,:,909,,822,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000024,,112.1,102.5,,:,886,,806,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000025,,274.6,248.9,,:,53,,48,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000026,,194.1,163.3,,:,46,,38,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000027,,152.8,138.2,,:,591,,538,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1998/99,S08000028,,171,167.6,,:,46,,45,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000015,,356,306.7,,:,1275,,1099,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000016,,156.7,142.2,,:,158,,144,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000017,,114.1,102.5,,:,167,,150,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000018,,108.8,102.3,,:,371,,350,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000019,,80.2,75.6,,:,221,,209,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000020,,240.4,214,,:,1275,,1140,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000021,,258,233.7,,:,2679,,2441,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000022,,391.8,332.6,,:,1154,,978,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000023,,178.4,159.2,,:,1059,,944,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000024,,120.5,108.9,,:,942,,852,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000025,,322.9,307,,:,59,,56,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000026,,229,176.1,,:,56,,43,,,:,1.3
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000027,,245.6,215,,:,938,,824,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,1999/00,S08000028,,168.7,165,,:,45,,44,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000015,,328.8,284.2,,:,1172,,1019,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000016,,153.8,135.1,,:,156,,137,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000017,,116.1,100,,:,167,,143,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000018,,117.2,108,,:,400,,369,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000019,,90.2,85.5,,:,253,,240,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000020,,164.9,151.7,,:,869,,803,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000021,,214.8,194.2,,:,2236,,2031,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000022,,375,317.4,,:,1107,,940,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000023,,154.2,137.5,,:,931,,831,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000024,,106.3,95.5,,:,840,,756,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000025,,367.4,344.2,,:,69,,64,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000026,,173.3,164.7,,:,40,,38,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000027,,211,189.9,,:,807,,729,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2000/01,S08000028,,212.7,196.2,,:,55,,51,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000015,,375.5,323.9,,:,1339,,1158,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000016,,181.1,160.1,,:,183,,162,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000017,,87.4,78.7,,:,127,,114,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000018,,95.7,91.9,,:,332,,320,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000019,,138,124.4,,:,381,,343,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000020,,207.5,187.8,,:,1105,,1005,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000021,,206.2,186.4,,:,2159,,1956,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000022,,414.4,354.7,,:,1222,,1043,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000023,,184,163.9,,:,1094,,979,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000024,,96.7,85.5,,:,765,,677,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000025,,365.1,331.5,,:,68,,61,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000026,,117.6,109.3,,:,27,,25,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000027,,215.5,194.6,,:,816,,737,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2001/02,S08000028,,453.4,397.4,,:,120,,105,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000015,,461,385.8,,:,1650,,1384,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000016,,214,197,,:,223,,204,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000017,,92.6,85.4,,:,132,,121,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000018,,101.5,96.6,,:,349,,334,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000019,,123.9,108.6,,:,342,,300,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000020,,182.5,166.7,,:,976,,890,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000021,,189.3,168.2,,:,1975,,1761,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000022,,363.7,321,,:,1075,,946,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000023,,175.2,158.5,,:,1068,,967,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000024,,69.2,63,,:,537,,489,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000025,,354.6,315.8,,:,68,,60,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000026,,270.1,186.5,,:,62,,43,,,:,1.4
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000027,,197.3,174.2,,:,753,,666,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2002/03,S08000028,,591.5,482.8,,:,151,,124,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000015,,407.9,346.5,,:,1465,,1244,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000016,,166.3,156.2,,:,173,,162,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000017,,96.8,89.5,,:,141,,130,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000018,,79.3,77.6,,:,269,,263,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000019,,132.6,123.1,,:,367,,340,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000020,,140,129.9,,:,734,,682,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000021,,160.1,145.8,,:,1662,,1521,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000022,,318.4,281.9,,:,952,,841,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000023,,134.8,123,,:,804,,733,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000024,,92.6,85.7,,:,710,,656,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000025,,331.7,277.3,,:,62,,52,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000026,,242.1,209.3,,:,52,,45,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000027,,172.3,156.7,,:,658,,600,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2003/04,S08000028,,783.2,666.3,,:,202,,172,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000015,,389.4,327.1,,:,1401,,1173,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000016,,176.4,154.9,,:,185,,162,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000017,,96.7,82.5,,:,141,,120,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000018,,77.5,73.4,,:,274,,260,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000019,,122.9,111.7,,:,341,,309,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000020,,112.4,106.5,,:,597,,566,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000021,,174.5,159.3,,:,1807,,1657,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000022,,233.4,211.3,,:,704,,636,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000023,,150.7,137.3,,:,913,,834,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000024,,78.3,72.5,,:,614,,569,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000025,,340.8,324.3,,:,66,,63,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000026,,248.3,222.1,,:,56,,50,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000027,,146,133,,:,554,,506,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2004/05,S08000028,,438.4,374.3,,:,116,,99,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000015,,345.1,289.3,,:,1240,,1041,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000016,,198.3,175.4,,:,206,,181,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000017,,82.1,76.9,,:,123,,115,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000018,,92.8,87.5,,:,331,,312,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000019,,91.2,83,,:,255,,231,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000020,,110.8,105.7,,:,604,,576,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000021,,164.7,146.1,,:,1722,,1533,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000022,,227.2,203.1,,:,686,,611,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000023,,141.3,127,,:,864,,780,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000024,,70.9,66,,:,555,,518,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000025,,291.1,244.3,,:,56,,47,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000026,,268.4,228,,:,62,,53,,,:,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000027,,134.6,122,,:,518,,471,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2005/06,S08000028,,270.6,258.9,,:,72,,69,,,:,1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000015,,340.4,297.6,,:,1227,,1073,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000016,,230,208.5,,:,238,,215,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000017,,97,89.4,,:,145,,134,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000018,,102.2,90.9,,:,359,,321,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000019,,120.6,109,,:,348,,314,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000020,,111.6,104.4,,:,625,,586,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000021,,191.8,172.4,,:,2013,,1819,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000022,,183.9,166.6,,:,569,,515,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000023,,155.7,138.5,,:,945,,843,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000024,,94.4,85.4,,:,733,,665,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000025,,246,228.1,,:,49,,45,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000026,,168.8,154.7,,:,40,,37,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000027,,136.3,123.1,,:,527,,477,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2006/07,S08000028,,93.7,83.7,,:,26,,23,,,:,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000015,,343.2,299.6,175.9,,1245,,1090,,646,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000016,,252.9,226.3,141.7,,267,,238,,148,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000017,,108.9,99.3,63.6,,162,,148,,96,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000018,,95.3,88.9,55.6,,347,,325,,206,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000019,,152.3,132.2,69.8,,437,,379,,202,,1.2
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000020,,146.5,136.8,87.6,,818,,764,,498,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000021,,189.6,165.6,80.8,,2010,,1758,,884,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000022,,229.9,202.3,113.6,,718,,630,,354,,1.1
M&B - Acute Intoxication,F10.0,,SMR01,2007/08,S08000023,,208.1,180.2,98.1,,1260,,1098,,594,,1.1
